200, 1, 17.85248000000000000000
200, 4, 11.85149000000000000000
200, 8, 24.53222000000000000000
200, 16, 22.09409000000000000000
200, 18, 22.03638000000000000000
200, 20, 23.74550000000000000000
500, 1, 103.52490000000000000000
500, 4, 106.33500000000000000000
500, 8, 93.99370000000000000000
500, 16, 106.38910000000000000000
500, 18, 79.77550000000000000000
500, 20, 119.75600000000000000000
1000, 1, 209.73200000000000000000
1000, 4, 184.95660000000000000000
1000, 8, 207.09700000000000000000
1000, 16, 190.42600000000000000000
1000, 18, 190.01900000000000000000
1000, 20, 199.54500000000000000000
2000, 1, 367.67400000000000000000
2000, 4, 374.09700000000000000000
2000, 8, 335.65800000000000000000
2000, 16, 360.20300000000000000000
2000, 18, 349.64100000000000000000
2000, 20, 349.13200000000000000000
5000, 1, 519.83900000000000000000
5000, 4, 512.21200000000000000000
5000, 8, 516.27000000000000000000
5000, 16, 520.87700000000000000000
5000, 18, 511.43200000000000000000
5000, 20, 510.85200000000000000000
10000, 1, 545.53200000000000000000
10000, 4, 543.59300000000000000000
10000, 8, 535.33900000000000000000
10000, 16, 555.77400000000000000000
10000, 18, 548.05300000000000000000
10000, 20, 544.52900000000000000000
20000, 1, 721.97900000000000000000
20000, 4, 712.97000000000000000000
20000, 8, 705.34700000000000000000
20000, 16, 714.20100000000000000000
20000, 18, 718.85200000000000000000
20000, 20, 721.06900000000000000000
